region,Level of applicability,measure,Potential area (ha),Expected water saving (%),Water requirement (m3/ha),Cost per hectare (US$),Adaptation coefficient (%),Water saving     (1000 m3/yr),Energy saving     (MWh/yr),Yield increase (%),Water saving benefit (US$/yr),Energy saving     benefit (US$/yr),Yield increase     benefit (US$/yr),Total benefit (US$/yr),Government target,Tentative total cost (US$),Timeframe,Bank involvement,water_price
Tajikistan,National,Introduction of volumetric water measurement,"950,000",10%,"6,431",125,75%,"458,237","1,080,000",10%,"8,550,000","10,800,000","42,629,364","61,979,364",,"89,062,500",10 years,Policy/Project,0.18
Kyrgyzstan,National,Introduction of volumetric water measurement,"500,000",6%,"6,593",78,86%,"149,985","174,500",10%,"2,730,000","3,490,000","56,243,072","62,463,072",Yes,"32,875,000",10 years,Policy/Project,0.09
Uzbekistan,National,Introduction of volumetric water measurement,"4,300,000",10%,"6,772",62,90%,"2,620,596","7,506,000",10%,"46,440,000","150,120,000","316,586,972","513,146,972",Yes,"238,500,000",5 years,Policy/Project,0.04
Kazakhstan,National,Introduction of volumetric water measurement,"1,000,000",10%,"7,093",75,90%,"638,334","810,000",10%,"10,800,000","40,500,000","167,738,670","219,038,670",Yes,"67,500,000",10 years,Policy/Project,0.13
Turkmenistan,National,Introduction of volumetric water measurement,"2,000,000",15%,"6,200",150,50%,"929,970","1,200,000",10%,"18,000,000","12,000,000","53,615,940","83,615,940",Yes,"150,000,000",15 years,Policy/Project,0.14
Tajikistan,National/Project,Training and capacity building,"950,000",6%,"6,431",50,10%,"36,860","144,000",10%,"690,000","1,440,000","5,683,915","7,813,915",Yes,"4,750,000",10 years,Policy/Project,0.18
Kyrgyzstan,National/Project,Training and capacity building,"500,000",10%,"6,593",26,20%,"62,618","41,000",20%,"1,140,000","820,000","25,040,919","27,000,919",,"2,600,000",10 years,Policy/Project,0.09
Uzbekistan,National/Project,Training and capacity building,"4,300,000",10%,"6,772",20,10%,"291,177","834,000",15%,"5,160,000","16,680,000","52,764,495","74,604,495",Yes,"8,600,000",10 years,Policy/Project,0.04
Kazakhstan,National/Project,Training and capacity building,"1,000,000",10%,"7,093",20,15%,"106,389","135,000",15%,"1,800,000","6,750,000","41,934,668","50,484,668",Yes,"3,000,000",10 years,Policy/Project,0.13
Turkmenistan,National/Project,Training and capacity building,"2,000,000",5%,"6,200",50,5%,"30,999","120,000",5%,"600,000","1,200,000","2,680,797","4,480,797",,"5,000,000",15 years,Policy/Project,0.14
Tajikistan,Project,Concrete lining of irrigation canals,"617,500",16%,"6,431","1,250",20%,"127,346","187,200",10%,"2,379,000","1,872,000","7,389,090","11,640,090",,"154,375,000",10 years,Project,0.18
Kyrgyzstan,Project,Concrete lining of irrigation canals,"402,500",16%,"6,593","1,026",30%,"123,626","49,575",10%,"2,250,000","991,500","14,982,354","18,223,854",,"123,937,500",10 years,Project,0.09
Uzbekistan,Project,Concrete lining of irrigation canals,"3,225,000",23%,"6,772",750,55%,"2,768,872","3,438,000",10%,"49,050,000","68,760,000","146,218,228","264,028,228",Yes,"1,338,750,000",5 years,Project,0.04
